TRAP ID,Certainty,Elevation,Max diameter,Min diameter,Height,Size Category,Surrounding Land Use,Surface Condition,Land Use Source,Robbed,CRM Condition,CRM Intactness,Photo,Campaign,Source,Municipality,Locality,BG Code,AKB Code,Notes
1000,Certain,373,34,34,6,Large,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Survey,Dolno Sahrane,,DS001,,Visible soil structure in large robbers' trench on the top.
1001,Certain,370,15,15,0.5,Small,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,5,5,Good,2009,Survey,Dolno Sahrane,,DS002,,Stones covering the surface of the flat mound.
1002,Certain,363,25,25,4,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,No,1,1,Poor,2009,Survey,Dolno Sahrane,,DS003,,Tree on the top.
1003,Certain,371,18,18,4,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,2,Poor,2009,Survey,Dolno Sahrane,,DS004,,Visible soil structure in large robbers' trench in the eastern part.
1004,Certain,375,25,25,3,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Remote Sensing,Dolno Sahrane,,DS005,,Huge robbers' trench in the centre.
1010,Certain,395,30,17,2,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,No,3,2,Good,2009,Remote Sensing,Dunavtsi,,DUN011,,Small to middle size stones spread all over the surface.
1011,Certain,376,35,35,3.5,Medium,Pasture,Scrub|Tall Grass,Photo,No,2,1,Good,2009,Remote Sensing,Dunavtsi,,DUN012,5500097,"Entirely overgrown, not accesible, destroyed by machine."
1016,Certain,362,37,28,5,Medium,Pasture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Survey,Dunavtsi,,DUN002,5500099,
1017,Certain,347,30,30,4,Medium,Forest,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,Remote Sensing,Dunavtsi,,DUN003,,"Very large stones in the profile, composed of yellow sandy soil. robbers' trench's from N to S."
1018,Certain,352,20,15,2,Medium,Forest,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Remote Sensing,Dunavtsi,,DUN004,,"Robbers' trench on the top, shallow but in the shape of grave."
1019,Certain,402,28,27,6,Large,Forest,Scrub|Tall Grass,Photo,Yes,3,2,Good,2009,AKB,Dunavtsi,Trite Mogili,DUN006,5500094,
1020,Certain,403,25,20,6,Large,Forest,Scrub|Tall Grass,Photo,Yes,4,3,Good,2009,AKB,Dunavtsi,Trite Mogili,DUN007,5500095,
1021,Certain,395,33,30,3,Medium,Forest,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,AKB,Dunavtsi,Trite Mogili,DUN008,5500093,
1022,Certain,375,25,16,3,Medium,Forest,Scrub|Tall Grass,Photo,No,1,1,Good,2009,AKB,Dunavtsi,,DUN009,5500096,
1023,Certain,379,25,25,3,Medium,Scrub,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,AKB,Dunavtsi,,DUN010,5500100,
1024,Uncertain,492,37,35,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,5,5,Poor,2010,Survey,Kran,,KRAN 50,,On the photo it is the bad visible hill in the field - agricultured to death.
1025,Certain,491,32,30,0.7,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,4,4,Good,2010,Survey,Kran,,KRAN 52,,Concentration of stones on the surface.
1026,Certain,491,25,25,8,Large,Annual Agriculture,Pasture,Photo,Yes,3,2,Good,2010,AKB,Kran,,KRAN 53,5500087,Southern part of the mound was taken by machine.
1031,Certain,519,69,67,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,4,4,Good,2010,Survey,Shipka,,SHIPKA 01,,"Excavated down the middle of the mound, now the middle is used as part of the field; was it done by TEMP (Kitov, Thracian Expedition for Tumular Investigations)."
1032,Certain,531,36,32,4,Medium,Pasture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2010,Survey,Shipka,,SHIPKA 02,,Partially destroyed by robbers.
1034,Certain,538,35,31,2,Medium,Pasture,Pasture,Photo,Yes,3,2,Good,2010,Survey,Shipka,,SHIPKA 05,,"Uneven surface of mound, earth has been pushed back into mound, previously excavated."
1035,Certain,529,21,20,8,Large,Pasture,Pasture,Photo,Yes,3,2,Good,2010,Survey,Shipka,,SHIPKA 06,,"Digged through - E side steep and uneven/W side has even slope, possibly left unexcavated."
1036,Certain,530,46,37,2,Medium,Pasture,Pasture,Survey,Yes,3,2,Good,2010,Survey,Shipka,,SHIPKA 07,,"Mound likely to be on the West side, earth from excavation moved to pile in the East, tree in the middle."
1037,Certain,533,34,26,4,Medium,Pasture,Scrub|Tall Grass,Photo,Yes,3,2,Good,2010,Survey,Shipka,,SHIPKА 08,,"Located in private property, beehives and small house on it."
1038,Certain,541,104,88,15,Large,Pasture,Scrub|Tall Grass,Photo,Yes,1,1,Poor,2010,Survey,Shipka,Shushmanets,SHIPKA 09,,"Excavated 1996, Tomb/Temple inside."
1039,Certain,527,45,35,12,Large,Pasture,Scrub|Tall Grass,Photo,Yes,1,1,Good,2010,Survey,Shipka,Helvetsia,SHIPKA 10,,"Excavated 1996, Tomb inside."
1040,Certain,530,36,32,10,Large,Pasture,Pasture,Photo,Yes,1,1,Good,2010,Survey,Shipka,Grifonite,SHIPKA 11,,"Excavated 1996, Tomb/Temple inside, nearby the factory."
1041,Uncertain,537,42,34,3,Medium,Pasture,Pasture,Survey,Yes,2,1,None,2010,Survey,Shipka,,SHIPKA 12,,Probably digged through - mound surface very uneven.
1042,Uncertain,502,10,8,2,Medium,Pasture,Pasture,Photo,No,3,1,Poor,2010,Survey,Shipka,,SHIPKA 03,,"Recent activity or ancient - modern monument on the top, staircase leading to it, marked on the map 1:25000."
1046,Certain,367,35,35,3,Medium,Forest,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,AKB,Dunavtsi,,,5500098,Recent rubbish near 1 robbers' trench.
1047,Certain,362,20,20,1.5,Medium,Forest,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,Survey,Dunavtsi,,,,"Overgrown with undefined boundaries, Very wide mound with spread out soil with 2 possible robbers' trench's. 2 very shallow trenches on South side."
1048,Certain,368,35,20,2,Medium,Forest,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,Survey,Dunavtsi,,,,"Can see some stone in trench, overgrown with old robbers' trench, West side cut ; large furrough (assumed robbers' trench)."
1055,Certain,402,77,63,1.5,Medium,Annual Agriculture,Annual Agriculture|Ploughed,Survey,No,4,4,Good,2011,AKB,Sheynovo,,,5500062,Entirely destroyed by agriculture.
1057,Certain,404,53,44,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Survey,No,4,5,None,2011,Survey,Sheynovo,,,,
1059,Certain,444,26,25,5,Medium,Urban,Pasture,Survey,Yes,3,3,Good,2011,AKB,Sheynovo,Sheynovskata Mogila,,5500063,"Covered with plants, stairs going up to a comunist momument, earth is mixed, looks like it has been destroyed but replaced."
1060,Certain,437,30,26,5,Medium,Pasture,Scrub|Tall Grass,Survey,Yes,3,3,Good,2011,AKB,Sheynovo,,,5500061,"Completely covered with plants/trees, etc. Top of the mound was removed by R.'s."
1063,Certain,378,50,40,0.5,Small,Perennial Agriculture,Annual Agriculture|Ploughed,Survey,No,4,5,None,2011,Survey,Sheynovo,,,,
1066,Uncertain,419,16,12,0.6,Small,Pasture,Pasture,Survey,No,4,4,None,2011,Survey,Golyamo Dryanovo,,,,"Defunct mound in a very disrupted environment; no obvious robbers' trenchs if any, they are old and lost in the general disuption of the mound and surrounding area."
1067,Certain,433,22,18,0.5,Small,Pasture,Pasture,Survey,Yes,4,4,None,2011,Remote Sensing,Golyamo Dryanovo,,,,Mostly excavated defunct mound with large crater in the center and trench to the SW; large stone blocks (unworked) in trench; no ancient material visible.
1068,Certain,434,22,18,5,Medium,Pasture,Pasture,Photo,Yes,2,2,Good,2011,Survey,Yasenovo Region,,,,"Fairly well preserved mound; W side cut away, two recent robbers' trenchs; perhaps some old robbers' trenchs on south."
1069,Certain,441,22,22,0.5,Small,Pasture,Pasture,Photo,No,2,2,Good,2011,Survey,Yasenovo Region,,,,"Large but low mound, no obvious robbing."
1070,Uncertain,436,18,13,0.8,Small,Pasture,Pasture,Photo,Yes,3,2,Good,2011,Survey,Yasenovo Region,,,,"Mound with flattened top, field stones piled on top and around; odd shape - squarish and flattened."
1071,Certain,474,16,15,2,Medium,Forest,Forest,Photo,Yes,2,1,Good,2010,Survey,Gorno Sahrane,,GS 006-13,,"One robbers' trench, earth mound with large river stones in profile."
2001,Certain,368,19,16,5,Medium,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,4,4,Good,2009,Survey,Koprinka,,KOOP001,,"Destroyed by plaughing, now overgrown."
2002,Certain,405,40,30,15,Large,Pasture,Pasture,Photo,Yes,3,3,Good,2009,Survey,Koprinka,Golyamata Mogila,KOOP002,,
2003,Certain,395,30,25,5,Medium,Pasture,Pasture,Photo,Yes,3,1,Good,2009,Survey,Koprinka,,KOOP003,,
2004,Certain,397,28,28,2,Medium,Pasture,Pasture,Photo,No,3,1,Poor,2009,Survey,Koprinka,,KOOP004,,
2005,Certain,390,41,35,7,Large,Pasture,Pasture,Photo,Yes,3,1,Good,2009,Survey,Koprinka,,KOOP005,,
2006,Certain,388,22,15,4,Medium,Pasture,Pasture,Photo,Yes,3,1,Good,2009,Survey,Koprinka,,KOOP006,,
2007,Certain,386,15,15,5,Medium,Pasture,Pasture,Photo,No,2,1,Good,2009,Survey,Koprinka,,KOOP007,,Covered with grass.
2008,Certain,363,18,15,2,Medium,Pasture,Pasture,Photo,No,2,1,Poor,2009,Survey,Koprinka,,KOOP008,,
2013,Certain,366,50,45,6,Large,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Survey,Koprinka,,KOOP009,,Roman/Thracian sherds found next to it - flat site.
2014,Certain,357,20,15,6,Large,Pasture,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,Survey,Koprinka,Devette Mogili,KOOP010,,
2015,Certain,376,25,20,2,Medium,Pasture,Scrub|Tall Grass,Photo,Yes,4,3,Good,2009,Survey,Koprinka,Devette Mogili,KOOP011,,
2016,Uncertain,359,18,18,0.5,Small,Pasture,Pasture,Photo,No,5,5,Good,2009,Survey,Koprinka,Devette Mogili,KOOP012,,
2017,Certain,370,24,24,3,Medium,Pasture,Pasture,Photo,Yes,2,1,Good,2009,Survey,Koprinka,Devette Mogili,KOOP013,,"Massive stones scattered all around and in the section, almost unrecognizable (vegetation)."
2018,Certain,360,14,12,8,Large,Pasture,Pasture,Photo,Yes,2,1,Good,2009,Survey,Koprinka,Devette Mogili,KOOP014,,
2020,Certain,381,29,20,7,Large,Pasture,Pasture,Photo,Yes,3,2,Good,2009,Survey,Koprinka,,KOOP016,,Robbers' trench on the top.
2021,Certain,368,15,10,1,Small,Pasture,Pasture,Photo,Yes,2,1,Good,2009,Survey,Koprinka,,KOOP017,,Robbers' trench on the S.
2022,Certain,354,22,13,2,Medium,Pasture,Pasture,Photo,No,2,1,Good,2009,Survey,Koprinka,,KOOP018,,"Robbers' trench on the top, rectangular shape (1.6x2.2x1 m)."
2023,Certain,348,29,22,5,Medium,Pasture,Pasture,Photo,Yes,2,1,Good,2009,Survey,Koprinka,,KOOP019,,Robbers' trench on the S (1.5x1.5).
2027,Certain,347,20,20,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,4,2,Good,2009,Survey,Kazanlak,,KAZ006,,
