TRAP ID,Certainty,Elevation,Max diameter,Min diameter,Height,Size Category,Surrounding Land Use,Surface Condition,Land Use Source,Robbed,CRM Condition,CRM Intactness,Photo,Campaign,Source,Municipality,Locality,BG Code,AKB Code,Notes,Latitude,Longitude
1000,Certain,373,34,34,6,Large,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Survey,Dolno Sahrane,,DS001,,Visible soil structure in large robbers' trench on the top.,42.628486,25.244189
1001,Certain,370,15,15,0.5,Small,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,5,5,Good,2009,Survey,Dolno Sahrane,,DS002,,Stones covering the surface of the flat mound.,42.627103,25.246605
1002,Certain,363,25,25,4,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,No,1,1,Poor,2009,Survey,Dolno Sahrane,,DS003,,Tree on the top.,42.626585,25.250297
1003,Certain,371,18,18,4,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,2,Poor,2009,Survey,Dolno Sahrane,,DS004,,Visible soil structure in large robbers' trench in the eastern part.,42.625915,25.24947
1004,Certain,375,25,25,3,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Remote Sensing,Dolno Sahrane,,DS005,,Huge robbers' trench in the centre.,42.625383,25.248682
1010,Certain,395,30,17,2,Medium,Annual Agriculture,Scrub|Tall Grass,Photo,No,3,2,Good,2009,Remote Sensing,Dunavtsi,,DUN011,,Small to middle size stones spread all over the surface.,42.628303,25.284228
1011,Certain,376,35,35,3.5,Medium,Pasture,Scrub|Tall Grass,Photo,No,2,1,Good,2009,Remote Sensing,Dunavtsi,,DUN012,5500097,"Entirely overgrown, not accesible, destroyed by machine.",42.626647,25.293209
1016,Certain,362,37,28,5,Medium,Pasture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Survey,Dunavtsi,,DUN002,5500099,,42.636998,25.277834
1017,Certain,347,30,30,4,Medium,Forest,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,Remote Sensing,Dunavtsi,,DUN003,,"Very large stones in the profile, composed of yellow sandy soil. robbers' trench's from N to S.",42.629079,25.280002
1018,Certain,352,20,15,2,Medium,Forest,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,Remote Sensing,Dunavtsi,,DUN004,,"Robbers' trench on the top, shallow but in the shape of grave.",42.626354,25.280477
1019,Certain,402,28,27,6,Large,Forest,Scrub|Tall Grass,Photo,Yes,3,2,Good,2009,AKB,Dunavtsi,Trite Mogili,DUN006,5500094,,42.623357,25.289673
1020,Certain,403,25,20,6,Large,Forest,Scrub|Tall Grass,Photo,Yes,4,3,Good,2009,AKB,Dunavtsi,Trite Mogili,DUN007,5500095,,42.623433,25.290542
1021,Certain,395,33,30,3,Medium,Forest,Scrub|Tall Grass,Photo,Yes,3,1,Good,2009,AKB,Dunavtsi,Trite Mogili,DUN008,5500093,,42.623049,25.291653
1022,Certain,375,25,16,3,Medium,Forest,Scrub|Tall Grass,Photo,No,1,1,Good,2009,AKB,Dunavtsi,,DUN009,5500096,,42.62258,25.295608
1023,Certain,379,25,25,3,Medium,Scrub,Scrub|Tall Grass,Photo,Yes,2,1,Good,2009,AKB,Dunavtsi,,DUN010,5500100,,42.621049,25.297957
1024,Uncertain,492,37,35,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,5,5,Poor,2010,Survey,Kran,,KRAN 50,,On the photo it is the bad visible hill in the field - agricultured to death.,42.686737,25.373959
1025,Certain,491,32,30,0.7,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,No,4,4,Good,2010,Survey,Kran,,KRAN 52,,Concentration of stones on the surface.,42.688196,25.372955
1026,Certain,491,25,25,8,Large,Annual Agriculture,Pasture,Photo,Yes,3,2,Good,2010,AKB,Kran,,KRAN 53,5500087,Southern part of the mound was taken by machine.,42.689354,25.371725
1031,Certain,519,69,67,1,Small,Annual Agriculture,Annual Agriculture|Ploughed,Photo,Yes,4,4,Good,2010,Survey,Shipka,,SHIPKA 01,,"Excavated down the middle of the mound, now the middle is used as part of the field; was it done by TEMP (Kitov, Thracian Expedition for Tumular Investigations).",42.701337,25.353101
1032,Certain,531,36,32,4,Medium,Pasture,Scrub|Tall Grass,Photo,Yes,2,1,Good,2010,Survey,Shipka,,SHIPKA 02,,Partially destroyed by robbers.,42.703133,25.351985
1034,Certain,538,35,31,2,Medium,Pasture,Pasture,Photo,Yes,3,2,Good,2010,Survey,Shipka,,SHIPKA 05,,"Uneven surface of mound, earth has been pushed back into mound, previously excavated.",42.702655,25.347987
1035,Certain,529,21,20,8,Large,Pasture,Pasture,Photo,Yes,3,2,Good,2010,Survey,Shipka,,SHIPKA 06,,"Digged through - E side steep and uneven/W side has even slope, possibly left unexcavated.",42.702357,25.347456
